Type,ID,Criterion,Status,Evidence
Advance,A1,"Six+ distinct prospective arena families, including rook and opposing minor",MET,Seven primary prospective families are represented: same-side leaper+pawn; same-side slider+pawn; rook+pawn; opposing-minor; wrong-colour fortress; two-sided race; double-brink adversarial. Symmetry/file stress and nested scaling add orthogonal test axes.
Advance,A2,Generic harness reproduces frozen historical checksums and emits deterministic certificates,PARTIAL / HOLD,G5 load-bearing truth/count membership reproduces exactly and G3 historical bridge counts reproduce. Full implementation-level G4 optional-pawn graph reconstruction is still unavailable; G5 max-rank labels remain 24/21 frozen versus 26/22 current membership-equivalent labeling (diagnostic terminalized convention explains B=21 but leaves N=25 vs 24).
Advance,A3,At least three proof-object types transfer prospectively across three+ topology families,MET,"Resource-safe TARGET schema and STRICT_ATTRACTOR transfer across at least five families; Branch/Hyperkernel composition transfers across same-side, opposing-minor and two-sided-race families."
Advance,A4,Conditional restoration theory materially better than exception cataloguing,MET,"FAR5: 15,251,718 antecedents, 0 violations across all files/ranks and N/B/R. FAR3: B/R 20,880,614 antecedents, 0 violations; N has exactly 96 violations captured by one exact relative-coordinate biconditional family."
Advance,A5,"Explain a sufficient structural condition for nonzero pure union BRIDGE, prospectively demonstrated",MET,"Branch-Kernel Factorization is stronger than sufficient: kernel nonempty iff strict pure bridge nonempty; exact factorization in same-side, opposing-minor and two-sided-race arenas. Independent 100,000 arbitrary-game-graph regression has 0 mismatches."
Advance,A6,Critical-manifold localization remains strong in multiple topologies or failure domain sharply characterized,MET,"Opposing-minor lift +12.896 to +20.353 pp; fortress +25.574 pp. Dense two-sided races show only +1.393 to +2.971 pp and double-brink race slab has 0 lift, sharply identifying saturation/nonselectivity."
Advance,A7,At least one held-out symbolic discovery succeeds without vocabulary retuning,MET,"Frozen 10-leaf double-brink grammar: 0 errors on 33,267 translated knight + 61,673 translated bishop + 38,759 OOD knight held-out tail states = 133,699 non-vacuous held-out states."
Advance,A8,Nested scaling family measures description cost versus arena size,MET,"Corrected d-file N/B/R sequence ranks 5-7,4-7,3-7,2-7 roughly doubles state count while TARGET_SAFE description remains unchanged. Target-attractor growth exponents N=0.4207, B=0.6480, R=0.9923."
Advance,A9,Proof graph composes certified objects into region materially larger than any individual object,MET,"Bishop c-file: constituent attractor union 678,338 plus branch closure 117,430 = 795,768; 4,302-state kernel amplifies ~27.30x into union-only region. This is exact composition without fresh symbolic inference."
Advance,A10,At least two adversarial negative controls preserved honestly,MET,Paired double-brink N/B controls preserve the failure of race/contact localization; race slab is 100% saturated and contact slab has negative lift. No retuning converted those failures into manifold successes.
Advance,A11,"Final synthesis classifies universal, conditional and local operations",MET,"G6.9 theorem taxonomy explicitly separates mathematical graph operations, reusable guarded schemas, finite conditional chess theorems, topology-dependent localization, transferable/local grammars and complexity floors."
Failure,F1,Most useful predicates require arena-specific absolute-square atoms,NOT TRIGGERED,"Promoted rules use relative distances, file/rank relations, graph access, terminal/resource guards and symmetry coordinates; no absolute-square catalogue is load-bearing."
Failure,F2,Certificate/harness discrepancies remain unresolved across historical baselines,TRIGGERED,Full G4 implementation-level graph reconstruction remains open and the historical G5 knight max-rank label remains unresolved despite exact membership/count reconstruction.
Failure,F3,Critical manifolds immediately become high-dimensional outside pawn-heavy arenas,NOT TRIGGERED,Opposing-minor five-man arenas retain ~99.7-99.8% mixed coverage with substantial positive localization lift.
Failure,F4,Automated discovery gains coverage only with near-linear description growth,NOT TRIGGERED,"Double-brink tails admit a 10-leaf grammar with exact non-vacuous held-out transfer; opposing-minor has compact but non-exact transfer, explicitly distinguished."
Failure,F5,BRIDGE cannot be predicted better than post-hoc target search,NOT TRIGGERED,Branch-kernel existence is necessary and sufficient for strict pure BRIDGE; factorization reconstructs exact union-only regions.
Failure,F6,Restoration failures resist reusable semantic partition and dominate projected regions,NOT TRIGGERED,FAR5/FAR3 and the exact 96-state knight exception replace raw failure catalogues with compact domain theorems.
Failure,F7,Proof-graph composition adds negligible coverage beyond direct attractor solves,NOT TRIGGERED,"Bishop c-file adds 117,430 union-only states (14.7568% of union attractor) from a 4,302-state kernel; multiple other families show nonzero exact increments."
Failure,F8,Scaling proof description grows roughly as fast as exact residual enumeration before reusable layers emerge,NOT TRIGGERED,A fixed target description remains exact while state count roughly doubles; coverage growth is topology-dependent but description does not track raw-state growth.
Failure,F9,Prospective held-out performance collapses while retrospective fits remain strong,NOT TRIGGERED,"TARGET guards transfer exactly across held-outs and double-brink 10-leaf grammar is exact over 133,699 non-vacuous held-out states."
